,country,year,sex,age,suicides_no,population,suicidesper100pop,gdp_for_year,gdp_per_capita,generation,name,iso_abr
0,Albania,2002,male,75+ years,4,31007,12.9,4435078648,1573,Silent,Albania,ALB
1,Albania,2002,male,25-34 years,23,206286,11.15,4435078648,1573,Generation X,Albania,ALB
2,Albania,2002,male,35-54 years,35,382139,9.16,4435078648,1573,Boomers,Albania,ALB
3,Albania,2002,male,55-74 years,13,198130,6.56,4435078648,1573,Silent,Albania,ALB
4,Albania,2002,male,15-24 years,15,263067,5.7,4435078648,1573,Millenials,Albania,ALB
5,Albania,2002,female,15-24 years,14,275970,5.07,4435078648,1573,Millenials,Albania,ALB
6,Albania,2002,female,35-54 years,15,375113,4.0,4435078648,1573,Boomers,Albania,ALB
7,Albania,2002,female,25-34 years,7,223685,3.13,4435078648,1573,Generation X,Albania,ALB
8,Albania,2002,female,75+ years,1,47407,2.11,4435078648,1573,Silent,Albania,ALB
9,Albania,2002,female,55-74 years,4,191712,2.09,4435078648,1573,Silent,Albania,ALB
10,Albania,2002,female,5-14 years,1,304850,0.33,4435078648,1573,Millenials,Albania,ALB
11,Albania,2002,male,5-14 years,1,319473,0.31,4435078648,1573,Millenials,Albania,ALB
12,Albania,2003,female,75+ years,6,49088,12.22,5746945913,2021,Silent,Albania,ALB
13,Albania,2003,male,55-74 years,16,201520,7.94,5746945913,2021,Silent,Albania,ALB
14,Albania,2003,male,35-54 years,28,386196,7.25,5746945913,2021,Boomers,Albania,ALB
15,Albania,2003,male,15-24 years,15,273235,5.49,5746945913,2021,Millenials,Albania,ALB
16,Albania,2003,female,15-24 years,14,283709,4.93,5746945913,2021,Millenials,Albania,ALB
17,Albania,2003,female,55-74 years,9,195699,4.6,5746945913,2021,Silent,Albania,ALB
18,Albania,2003,male,25-34 years,9,205433,4.38,5746945913,2021,Generation X,Albania,ALB
19,Albania,2003,female,25-34 years,9,222941,4.04,5746945913,2021,Generation X,Albania,ALB
20,Albania,2003,female,35-54 years,13,381760,3.41,5746945913,2021,Boomers,Albania,ALB
21,Albania,2003,male,75+ years,1,32667,3.06,5746945913,2021,Silent,Albania,ALB
22,Albania,2003,male,5-14 years,4,313204,1.28,5746945913,2021,Millenials,Albania,ALB
23,Albania,2003,female,5-14 years,0,298477,0.0,5746945913,2021,Millenials,Albania,ALB
24,Albania,2004,male,75+ years,4,35526,11.26,7314865176,2544,Silent,Albania,ALB
25,Albania,2004,male,35-54 years,39,391767,9.95,7314865176,2544,Boomers,Albania,ALB
26,Albania,2004,male,25-34 years,16,203938,7.85,7314865176,2544,Generation X,Albania,ALB
27,Albania,2004,female,15-24 years,20,292268,6.84,7314865176,2544,Millenials,Albania,ALB
28,Albania,2004,male,15-24 years,19,286768,6.63,7314865176,2544,Millenials,Albania,ALB
29,Albania,2004,female,75+ years,3,50970,5.89,7314865176,2544,Silent,Albania,ALB
30,Albania,2004,female,25-34 years,11,222389,4.95,7314865176,2544,Generation X,Albania,ALB
