,country,iso_abr,year,suicides_no,population,suicides_per100kpop
0,Albania,ALB,2002,133,2818839,4.72
1,Albania,ALB,2003,124,2843929,4.36
2,Albania,ALB,2004,146,2874991,5.08
3,Albania,ALB,2005,0,2783320,0.0
4,Albania,ALB,2006,0,2780176,0.0
5,Albania,ALB,2007,124,2770344,4.48
6,Albania,ALB,2008,160,2757059,5.8
7,Albania,ALB,2009,0,2745735,0.0
8,Albania,ALB,2010,96,2736025,3.51
9,Antigua and Barbuda,ATG,2002,0,77588,0.0
10,Antigua and Barbuda,ATG,2003,1,78658,1.27
11,Antigua and Barbuda,ATG,2004,2,79722,2.51
12,Antigua and Barbuda,ATG,2005,0,80809,0.0
13,Antigua and Barbuda,ATG,2006,0,81973,0.0
14,Antigua and Barbuda,ATG,2007,1,83131,1.2
15,Antigua and Barbuda,ATG,2008,0,84273,0.0
16,Antigua and Barbuda,ATG,2009,0,85405,0.0
17,Antigua and Barbuda,ATG,2012,0,88703,0.0
18,Antigua and Barbuda,ATG,2013,0,89779,0.0
19,Antigua and Barbuda,ATG,2014,0,90837,0.0
20,Antigua and Barbuda,ATG,2015,1,91889,1.09
21,Argentina,ARG,2002,3162,34407507,9.19
22,Argentina,ARG,2003,3289,34785907,9.45
23,Argentina,ARG,2004,3121,35162945,8.88
24,Argentina,ARG,2005,3058,35550617,8.6
25,Argentina,ARG,2006,3108,35918886,8.65
26,Argentina,ARG,2007,2946,36315492,8.11
27,Argentina,ARG,2008,3059,36733520,8.33
28,Argentina,ARG,2009,2884,37158001,7.76
29,Argentina,ARG,2010,2943,37578454,7.83
30,Argentina,ARG,2011,2912,38015739,7.66
31,Argentina,ARG,2012,3248,38441778,8.45
32,Argentina,ARG,2013,2987,38859125,7.69
33,Argentina,ARG,2014,3231,39276555,8.23
34,Argentina,ARG,2015,3073,39699624,7.74
35,Armenia,ARM,2002,74,3014844,2.45
36,Armenia,ARM,2003,59,3024366,1.95
37,Armenia,ARM,2006,78,2764396,2.82
38,Armenia,ARM,2007,71,2735313,2.6
39,Armenia,ARM,2008,63,3045391,2.07
40,Armenia,ARM,2009,53,2689695,1.97
41,Armenia,ARM,2010,73,2676225,2.73
42,Armenia,ARM,2011,67,2670366,2.51
43,Armenia,ARM,2012,79,2814300,2.81
44,Armenia,ARM,2013,67,2810664,2.38
45,Armenia,ARM,2014,58,2803029,2.07
46,Armenia,ARM,2015,74,2795335,2.65
47,Armenia,ARM,2016,67,2400033,2.79
48,Aruba,ABW,2002,9,88284,10.19
49,Aruba,ABW,2003,2,90457,2.21
50,Aruba,ABW,2004,8,92335,8.66
51,Aruba,ABW,2005,10,93728,10.67
52,Aruba,ABW,2006,9,94508,9.52
53,Aruba,ABW,2007,8,94814,8.44
54,Aruba,ABW,2008,4,94814,4.22
55,Aruba,ABW,2009,4,94795,4.22
56,Aruba,ABW,2010,7,95006,7.37
57,Aruba,ABW,2011,9,95488,9.43
58,Australia,AUS,2002,2319,18370058,12.62
59,Australia,AUS,2003,2156,18608029,11.59
60,Australia,AUS,2004,2114,18854551,11.21
61,Australia,AUS,2006,2117,19109246,11.08
62,Australia,AUS,2007,2229,19734430,11.29
63,Australia,AUS,2008,2341,20120312,11.64
64,Australia,AUS,2009,2337,20529317,11.38
65,Australia,AUS,2010,2420,20847547,11.61
66,Australia,AUS,2011,2392,20881910,11.45
67,Australia,AUS,2012,2580,21238909,12.15
68,Australia,AUS,2013,2608,21600180,12.07
69,Australia,AUS,2014,2891,21927587,13.18
70,Australia,AUS,2015,3027,22240785,13.61
71,Austria,AUT,2002,1553,7683162,20.21
72,Austria,AUT,2003,1456,7722033,18.86
73,Austria,AUT,2004,1422,7773105,18.29
74,Austria,AUT,2005,1399,7827461,17.87
75,Austria,AUT,2006,1297,7869269,16.48
76,Austria,AUT,2007,1285,7897272,16.27
77,Austria,AUT,2008,1267,7925258,15.99
78,Austria,AUT,2009,1278,7946894,16.08
79,Austria,AUT,2010,1264,7968421,15.86
80,Austria,AUT,2011,1288,7995146,16.11
81,Austria,AUT,2012,1276,8031276,15.89
82,Austria,AUT,2013,1291,8079615,15.98
83,Austria,AUT,2014,1314,8141165,16.14
84,Austria,AUT,2015,1251,8219386,15.22
85,Austria,AUT,2016,1201,7484629,16.05
86,Azerbaijan,AZE,2002,92,7605700,1.21
87,Azerbaijan,AZE,2003,129,7674400,1.68
88,Azerbaijan,AZE,2004,108,7738250,1.4
89,Azerbaijan,AZE,2007,55,7921100,0.69
90,Bahamas,BHS,2002,3,282555,1.06
91,Bahamas,BHS,2003,1,288888,0.35
92,Bahamas,BHS,2004,2,295237,0.68
93,Bahamas,BHS,2005,4,301763,1.33
94,Bahamas,BHS,2006,2,308499,0.65
95,Bahamas,BHS,2007,5,314989,1.59
96,Bahamas,BHS,2008,4,321447,1.24
97,Bahamas,BHS,2009,6,327813,1.83
98,Bahamas,BHS,2010,10,333869,3.0
99,Bahamas,BHS,2011,4,338383,1.18
100,Bahamas,BHS,2012,5,343558,1.46
101,Bahamas,BHS,2013,5,348959,1.43
102,Bahrain,BHR,2002,25,661010,3.78
103,Bahrain,BHR,2003,34,702913,4.84
104,Bahrain,BHR,2004,42,751559,5.59
105,Bahrain,BHR,2005,42,819540,5.12
106,Bahrain,BHR,2006,28,888543,3.15
107,Bahrain,BHR,2007,40,964770,4.15
108,Bahrain,BHR,2008,43,1024110,4.2
109,Bahrain,BHR,2009,36,1092922,3.29
110,Bahrain,BHR,2010,19,1139160,1.67
111,Bahrain,BHR,2011,18,1103462,1.63
112,Bahrain,BHR,2012,19,1201778,1.58
113,Bahrain,BHR,2013,5,1214492,0.41
114,Bahrain,BHR,2014,9,1213966,0.74
115,Barbados,BRB,2002,0,253353,0.0
116,Barbados,BRB,2003,0,254122,0.0
117,Barbados,BRB,2004,3,254925,1.18
118,Barbados,BRB,2005,1,255889,0.39
119,Barbados,BRB,2006,9,256883,3.5
120,Barbados,BRB,2007,0,258083,0.0
121,Barbados,BRB,2008,1,259414,0.39
122,Barbados,BRB,2009,5,260718,1.92
123,Barbados,BRB,2010,3,261927,1.15
124,Barbados,BRB,2011,0,263203,0.0
125,Barbados,BRB,2012,0,264270,0.0
126,Barbados,BRB,2013,0,265165,0.0
127,Belarus,BLR,2002,3291,9469234,34.75
128,Belarus,BLR,2003,3456,9420691,36.69
129,Belarus,BLR,2007,2659,9244456,28.76
130,Belarus,BLR,2008,2658,9205746,28.87
131,Belarus,BLR,2009,2743,9169969,29.91
132,Belarus,BLR,2010,2459,8981193,27.38
133,Belarus,BLR,2011,2172,8947320,24.28
134,Belarus,BLR,2013,1902,8910240,21.35
135,Belarus,BLR,2014,1741,8906977,19.55
136,Belgium,BEL,2002,2076,9758570,21.27
137,Belgium,BEL,2003,2091,9804122,21.33
138,Belgium,BEL,2004,1987,9848022,20.18
139,Belgium,BEL,2005,2029,9901014,20.49
140,Belgium,BEL,2006,1935,9962702,19.42
141,Belgium,BEL,2007,1857,10030266,18.51
142,Belgium,BEL,2008,1999,10100850,19.79
143,Belgium,BEL,2009,2013,10173366,19.79
144,Belgium,BEL,2010,2013,10211171,19.71
145,Belgium,BEL,2011,2088,10355126,20.16
